dish_name,date,quantity_sold,price_per_unit
Grilled Chicken Breast,2025-07-01,15,18.50
Caesar Salad,2025-07-01,12,12.00
Spaghetti Carbonara,2025-07-01,8,16.75
Salmon Teriyaki,2025-07-01,6,24.00
Beef Burger,2025-07-01,20,14.50
Vegetable Stir Fry,2025-07-01,10,13.25
Mushroom Risotto,2025-07-01,7,19.00
Greek Salad,2025-07-01,9,11.50
BBQ Ribs,2025-07-01,5,26.00
Fish and Chips,2025-07-01,13,17.75
Grilled Chicken Breast,2025-07-02,18,18.50
Caesar Salad,2025-07-02,14,12.00
Spaghetti Carbonara,2025-07-02,11,16.75
Salmon Teriyaki,2025-07-02,8,24.00
Beef Burger,2025-07-02,22,14.50
Vegetable Stir Fry,2025-07-02,12,13.25
Mushroom Risotto,2025-07-02,9,19.00
Greek Salad,2025-07-02,11,11.50
BBQ Ribs,2025-07-02,7,26.00
Fish and Chips,2025-07-02,15,17.75
Grilled Chicken Breast,2025-07-03,16,18.50
Caesar Salad,2025-07-03,13,12.00
Spaghetti Carbonara,2025-07-03,9,16.75
Salmon Teriyaki,2025-07-03,7,24.00
Beef Burger,2025-07-03,25,14.50
Vegetable Stir Fry,2025-07-03,14,13.25
Mushroom Risotto,2025-07-03,6,19.00
Greek Salad,2025-07-03,8,11.50
BBQ Ribs,2025-07-03,4,26.00
Fish and Chips,2025-07-03,12,17.75
Grilled Chicken Breast,2025-07-04,19,18.50
Caesar Salad,2025-07-04,16,12.00
Spaghetti Carbonara,2025-07-04,12,16.75
Salmon Teriyaki,2025-07-04,9,24.00
Beef Burger,2025-07-04,28,14.50
Vegetable Stir Fry,2025-07-04,15,13.25
Mushroom Risotto,2025-07-04,8,19.00
Greek Salad,2025-07-04,10,11.50
BBQ Ribs,2025-07-04,6,26.00
Fish and Chips,2025-07-04,17,17.75
Grilled Chicken Breast,2025-07-05,21,18.50
Caesar Salad,2025-07-05,18,12.00
Spaghetti Carbonara,2025-07-05,14,16.75
Salmon Teriyaki,2025-07-05,10,24.00
Beef Burger,2025-07-05,30,14.50
Vegetable Stir Fry,2025-07-05,16,13.25
Mushroom Risotto,2025-07-05,11,19.00
Greek Salad,2025-07-05,13,11.50
BBQ Ribs,2025-07-05,8,26.00
Fish and Chips,2025-07-05,19,17.75
